group,scan,side,case,parameter_value_display,distance_nm,distance_over_lambda_D,phi_profile_mV
CH,Cdl_Pd,Pd,high,100.0,11.72313041018004,3.854748603351955,-2.6876341506456907
CH,Cdl_Pd,Pd,high,100.0,11.808080630543666,3.88268156424581,-2.612768758923061
CH,Cdl_Pd,Pd,high,100.0,11.893030850907289,3.9106145251396645,-2.5399937731169553
CH,Cdl_Pd,Pd,high,100.0,11.977981071270912,3.9385474860335195,-2.4692506402483634
CH,Cdl_Pd,Pd,high,100.0,12.062931291634536,3.966480446927374,-2.400482454388291
CH,Cdl_Pd,Pd,high,100.0,12.14788151199816,3.994413407821229,-2.3336339100567147
CH,Cdl_Pd,Pd,high,100.0,12.232831732361785,4.022346368715084,-2.268651256950972
CH,Cdl_Pd,Pd,high,100.0,12.317781952725404,4.050279329608938,-2.2054822559652734
CH,Cdl_Pd,Pd,high,100.0,12.40273217308903,4.078212290502793,-2.1440761364639696
CH,Cdl_Pd,Pd,high,100.0,12.487682393452655,4.106145251396648,-2.084383554772494
CH,Cdl_Pd,Pd,high,100.0,12.572632613816275,4.134078212290502,-2.026356553850815
CH,Cdl_Pd,Pd,high,100.0,12.6575828341799,4.162011173184357,-1.9699485241153434
CH,Cdl_Pd,Pd,high,100.0,12.742533054543523,4.189944134078212,-1.915114165376237
CH,Cdl_Pd,Pd,high,100.0,12.827483274907149,4.217877094972067,-1.8618094498579532
CH,Cdl_Pd,Pd,high,100.0,12.91243349527077,4.245810055865921,-1.8099915862719251
CH,Cdl_Pd,Pd,high,100.0,12.997383715634394,4.273743016759776,-1.7596189849110777
CH,Cdl_Pd,Pd,high,100.0,13.082333935998019,4.301675977653631,-1.7106512237368214
CH,Cdl_Pd,Pd,high,100.0,13.16728415636164,4.329608938547485,-1.6630490154300155
CH,Cdl_Pd,Pd,high,100.0,13.252234376725264,4.35754189944134,-1.6167741753782072
CH,Cdl_Pd,Pd,high,100.0,13.337184597088887,4.385474860335195,-1.5717895905722914
CH,Cdl_Pd,Pd,high,100.0,13.422134817452513,4.41340782122905,-1.528059189386479
CH,Cdl_Pd,Pd,high,100.0,13.507085037816136,4.4413407821229045,-1.4855479122162543
CH,Cdl_Pd,Pd,high,100.0,13.592035258179758,4.4692737430167595,-1.4442216829497214
CH,Cdl_Pd,Pd,high,100.0,13.676985478543383,4.4972067039106145,-1.4040473812484742
CH,Cdl_Pd,Pd,high,100.0,13.761935698907005,4.525139664804469,-1.3649928156147841
CH,Cdl_Pd,Pd,high,100.0,13.84688591927063,4.553072625698324,-1.327026697222607
CH,Cdl_Pd,Pd,high,100.0,13.931836139634253,4.581005586592179,-1.2901186144905425
CH,Cdl_Pd,Pd,high,100.0,14.016786359997877,4.608938547486034,-1.254239008375539
CH,Cdl_Pd,Pd,high,100.0,14.1017365803615,4.636871508379888,-1.219359148366703
CH,Cdl_Pd,Pd,high,100.0,14.186686800725123,4.664804469273743,-1.1854511091592252
CH,Cdl_Pd,Pd,high,100.0,14.271637021088747,4.692737430167598,-1.1524877479889903
CH,Cdl_Pd,Pd,high,100.0,14.35658724145237,4.720670391061452,-1.1204426826089784
CH,Cdl_Pd,Pd,high,100.0,14.441537461815994,4.748603351955307,-1.0892902698891522
CH,Cdl_Pd,Pd,high,100.0,14.526487682179619,4.776536312849162,-1.0590055850220281
CH,Cdl_Pd,Pd,high,100.0,14.61143790254324,4.804469273743017,-1.0295644013166474
CH,Cdl_Pd,Pd,high,100.0,14.696388122906864,4.832402234636871,-1.000943170564163
CH,Cdl_Pd,Pd,high,100.0,14.781338343270487,4.860335195530726,-0.9731190039587444
CH,Cdl_Pd,Pd,high,100.0,14.866288563634113,4.888268156424581,-0.9460696535579852
CH,Cdl_Pd,Pd,high,100.0,14.951238783997734,4.916201117318435,-0.9197734942674098
CH,Cdl_Pd,Pd,high,100.0,15.036189004361356,4.94413407821229,-0.894209506334182
CH,Cdl_Pd,Pd,high,100.0,15.121139224724983,4.972067039106145,-0.869357258335494
CH,Cdl_Pd,Pd,high,100.0,15.206089445088605,5.0,-0.8451968906475722
PZC,pzc_Au,Au,low,0.63,0.0,0.0,-33.97822730834514
PZC,pzc_Au,Au,low,0.63,0.08495022036362349,0.027932960893854747,-32.9856268223815
PZC,pzc_Au,Au,low,0.63,0.16990044072724697,0.055865921787709494,-32.02470399900332
PZC,pzc_Au,Au,low,0.63,0.2548506610908705,0.08379888268156424,-31.094045674489003
PZC,pzc_Au,Au,low,0.63,0.33980088145449394,0.11173184357541899,-30.192375746721638
PZC,pzc_Au,Au,low,0.63,0.4247511018181174,0.13966480446927373,-29.318529707217206
PZC,pzc_Au,Au,low,0.63,0.509701322181741,0.16759776536312848,-28.471435171449315
PZC,pzc_Au,Au,low,0.63,0.5946515425453645,0.19553072625698323,-27.650096873832354
PZC,pzc_Au,Au,low,0.63,0.6796017629089879,0.22346368715083798,-26.853585002299212
PZC,pzc_Au,Au,low,0.63,0.7645519832726115,0.25139664804469275,-26.081026044268256
PZC,pzc_Au,Au,low,0.63,0.8495022036362349,0.27932960893854747,-25.331595532043305
PZC,pzc_Au,Au,low,0.63,0.9344524239998584,0.3072625698324022,-24.604512233657296
PZC,pzc_Au,Au,low,0.63,1.019402644363482,0.33519553072625696,-23.899033450908032
PZC,pzc_Au,Au,low,0.63,1.1043528647271055,0.36312849162011174,-23.21445117140596
PZC,pzc_Au,Au,low,0.63,1.189303085090729,0.39106145251396646,-22.55008888419944
PZC,pzc_Au,Au,low,0.63,1.2742533054543523,0.4189944134078212,-21.905298914991416
PZC,pzc_Au,Au,low,0.63,1.3592035258179758,0.44692737430167595,-21.279460171481613
