L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.9,Au,1.03,-194.68862504223677,-5.608383372403211
1.0,0.9,Au,1.035,-194.6436916074906,-5.610630044140519
1.0,0.9,Au,1.04,-194.59819805454006,-5.612904721788047
1.0,0.9,Au,1.045,-194.55253728068945,-5.615187760480578
1.0,0.9,Au,1.05,-194.50638141002153,-5.617495554013974
1.0,0.9,Au,1.055,-194.45997766617856,-5.619815741206121
1.0,0.9,Au,1.06,-194.4131538849149,-5.622156930269305
1.0,0.9,Au,1.065,-194.36599366111406,-5.6245149414593465
1.0,0.9,Au,1.07,-194.3184935966465,-5.626889944682724
1.0,0.9,Au,1.075,-194.27056573669583,-5.629286337680258
1.0,0.9,Au,1.08,-194.2223780655421,-5.631695721237945
1.0,0.9,Au,1.085,-194.17367383936138,-5.634130932546981
1.0,0.9,Au,1.09,-194.12478428075553,-5.636575410477274
1.0,0.9,Au,1.095,-194.07529728877495,-5.639049760076302
1.0,0.9,Au,1.1,-194.02568876527405,-5.641530186251346
1.0,0.9,Au,1.105,-193.97541467774946,-5.644043890627577
1.0,0.9,Au,1.11,-193.92506763478832,-5.646561242775634
1.0,0.9,Au,1.115,-193.8740037791329,-5.649114435558405
1.0,0.9,Au,1.12,-193.82289664546312,-5.6516697922418935
1.0,0.9,Au,1.125,-193.7710414642929,-5.6542625513004054
1.0,0.9,Au,1.13,-193.71915122620425,-5.656857063204837
1.0,0.9,Au,1.135,-193.66650363711312,-5.659489442659393
1.0,0.9,Au,1.14,-193.61380649184542,-5.6621242999227785
1.0,0.9,Au,1.145,-193.56036518645806,-5.664796365192147
1.0,0.9,Au,1.15,-193.50683723473827,-5.667472762778136
1.0,0.9,Au,1.155,-193.4525999589275,-5.670184626568675
1.0,0.9,Au,1.16,-193.39821789346112,-5.672903729841994
1.0,0.9,Au,1.165,-193.343180752387,-5.675655586895699
1.0,0.9,Au,1.17,-193.2879224986684,-5.678418499581631
1.0,0.9,Au,1.175,-193.23207932945596,-5.681210658042252
1.0,0.9,Au,1.18,-193.1759245974543,-5.684018394642335
1.0,0.9,Au,1.185,-193.1192664487939,-5.686851302075355
1.0,0.9,Au,1.19,-193.0621971588511,-5.689704766572495
1.0,0.9,Au,1.195,-193.0047119108184,-5.69257902897413
1.0,0.9,Au,1.2,-192.9467124642189,-5.695479001304104
1.0,0.9,Au,1.205,-192.8883846134577,-5.698395393842165
1.0,0.9,Au,1.21,-192.82944198717118,-5.701342525156491
1.0,0.9,Au,1.215,-192.770252612758,-5.70430199387715
1.0,0.9,Au,1.22,-192.71035626831656,-5.707296811099222
1.0,0.9,Au,1.225,-192.65028318268205,-5.710300465380948
1.0,0.9,Au,1.23,-192.58942479039953,-5.713343384995073
1.0,0.9,Au,1.235,-192.52844286827744,-5.7163924811011775
1.0,0.9,Au,1.24,-192.46661585938705,-5.7194838315456975
1.0,0.9,Au,1.245,-192.4046975266042,-5.72257974818484
1.0,0.9,Au,1.25,-192.341896496668,-5.7257197996816505
1.0,0.9,Au,1.255,-192.27901235031635,-5.728864006999232
1.0,0.9,Au,1.26,-192.21523234681493,-5.732053007174303
1.0,0.9,Au,1.265,-192.15135186966853,-5.735247031031624
1.0,0.9,Au,1.27,-192.08658760435736,-5.738485244297181
1.0,0.9,Au,1.275,-192.02167992980674,-5.741730628024714
1.0,0.9,Au,1.28,-191.95592496176874,-5.7450183764266125
1.0,0.9,Au,1.285,-191.88995964152227,-5.748316642438936
1.0,0.9,Au,1.29,-191.82320557946878,-5.751654345541611
1.0,0.9,Au,1.295,-191.75615330508626,-5.755006959260737
1.0,0.9,Au,1.3,-191.68838907714093,-5.758395170658003
1.0,0.9,Au,1.305,-191.62022230824434,-5.761803509102833
1.0,0.9,Au,1.31,-191.55143354418428,-5.765242947305836
1.0,0.9,Au,1.315,-191.48212700089198,-5.768708274470451
