segment_id,material,x_nm,phi_RP_V,sigma_C_per_m2
Pd,Pd,2.035,-0.15317238872189462,-0.000958589245598454
Pd,Pd,2.04,-0.1526749096904188,-0.0012073287613363626
Pd,Pd,2.045,-0.15219692807247523,-0.0014463195703081494
Pd,Pd,2.05,-0.15174080997881145,-0.0016743786171400377
Pd,Pd,2.055,-0.15129664793087316,-0.0018964596411091827
Pd,Pd,2.06,-0.150870620779586,-0.002109473216752769
Pd,Pd,2.065,-0.15045667201794308,-0.0023164475975742255
Pd,Pd,2.07,-0.15005424601951695,-0.002517660596787291
Pd,Pd,2.075,-0.14966563736542268,-0.002711964923834423
Pd,Pd,2.08,-0.1492847130938474,-0.0029024270596220703
Pd,Pd,2.085,-0.14891596360848605,-0.0030868018023027383
Pd,Pd,2.09,-0.1485555518156566,-0.0032670076987174612
Pd,Pd,2.095,-0.1482031969327025,-0.00344318514019451
Pd,Pd,2.1,-0.14786084003540176,-0.003614363588844885
Pd,Pd,2.105,-0.14752404982970607,-0.003782758691692728
Pd,Pd,2.11,-0.14719633902515392,-0.003946614093968806
Pd,Pd,2.115,-0.14687491970454428,-0.004107323754273626
Pd,Pd,2.12,-0.146559623582159,-0.00426497181546627
Pd,Pd,2.125,-0.14625209942769715,-0.004418733892697188
Pd,Pd,2.13,-0.14594888041297663,-0.00457034340005745
Pd,Pd,2.135,-0.14565284858820493,-0.004718359312443299
Pd,Pd,2.14,-0.14536182079073606,-0.004863873211177733
Pd,Pd,2.145,-0.1450756854647047,-0.0050069408741934135
Pd,Pd,2.15,-0.14479586718353915,-0.005146850014776189
Pd,Pd,2.155,-0.144519519012925,-0.00528502410008326
Pd,Pd,2.16,-0.14424908397237762,-0.0054202416203569526
Pd,Pd,2.165,-0.1439827702168431,-0.00555339849812421
Pd,Pd,2.17,-0.14372049870536086,-0.0056845342538653365
Pd,Pd,2.175,-0.14346352069988583,-0.005813023256602851
Pd,Pd,2.18,-0.14320942080279594,-0.005940073205147792
Pd,Pd,2.185,-0.14296031931975828,-0.006064623946666625
Pd,Pd,2.19,-0.14271469753449492,-0.006187434839298303
Pd,Pd,2.195,-0.14247249673419948,-0.006308535239446023
Pd,Pd,2.2,-0.14223483144798652,-0.006427367882552507
Pd,Pd,2.205,-0.14199960375128576,-0.006544981730902885
Pd,Pd,2.21,-0.14176868696570755,-0.006660440123691991
Pd,Pd,2.215,-0.1415407634640466,-0.006774401874522468
Pd,Pd,2.22,-0.14131578806846873,-0.0068868895723114
Pd,Pd,2.225,-0.14109476517127628,-0.006997401020907623
Pd,Pd,2.23,-0.14087584005971607,-0.00710686357668773
Pd,Pd,2.235,-0.14066069107403814,-0.0072144380695266935
Pd,Pd,2.24,-0.1404481546193006,-0.007320706296895463
Pd,Pd,2.245,-0.140238194970282,-0.007425686121404762
Pd,Pd,2.25,-0.14003172613699486,-0.0075289205380483365
Pd,Pd,2.255,-0.1398270855871702,-0.0076312408129606685
Pd,Pd,2.26,-0.1396257939086569,-0.007731886652217315
Pd,Pd,2.265,-0.13942680915114694,-0.007831379030972294
Pd,Pd,2.27,-0.1392301024429339,-0.007929732385078811
Pd,Pd,2.275,-0.13903651241258627,-0.008026527400252628
