condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
4,janus_on_c_support,C-supported Janus,with EDL,0.60775,4.653161182079903e-12,-5.741922520538987e-12,0.0046531611820799035,-0.005741922520538987,-1.0887613384590835e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.6080000000000001,4.6907678042250756e-12,-5.6954610996661146e-12,0.004690767804225076,-0.0056954610996661145,-1.004693295441039e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.60825,4.728678434504074e-12,-5.64937565296979e-12,0.004728678434504074,-0.00564937565296979,-9.206972184657162e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.6085,4.766895531072039e-12,-5.603663137790802e-12,0.004766895531072039,-0.005603663137790802,-8.367676067187629e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.60875,4.80542157196483e-12,-5.558320536095171e-12,0.0048054215719648295,-0.005558320536095171,-7.528989641303414e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.609,4.844259055260059e-12,-5.513344854274619e-12,0.00484425905526006,-0.005513344854274619,-6.690857990145596e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.6092500000000001,4.883410499239141e-12,-5.468733122948939e-12,0.004883410499239141,-0.005468733122948939,-5.853226237097978e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.6095,4.922878442550739e-12,-5.424482396769941e-12,0.004922878442550739,-0.005424482396769941,-5.01603954219202e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.60975,4.962665444375537e-12,-5.380589754226869e-12,0.004962665444375537,-0.005380589754226869,-4.179243098513325e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.61,5.0027740845923305e-12,-5.337052297453526e-12,0.00500277408459233,-0.005337052297453526,-3.3427821286119545e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.61025,5.043206963945455e-12,-5.293867152036857e-12,0.005043206963945455,-0.005293867152036857,-2.50660188091402e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.6105,5.083966704213656e-12,-5.251031466827134e-12,0.005083966704213657,-0.005251031466827134,-1.6706476261347745e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.61075,5.125055948380103e-12,-5.208542413749716e-12,0.0051250559483801035,-0.005208542413749716,-8.348646536961279e-14
4,janus_on_c_support,C-supported Janus,with EDL,0.611,5.166477360804072e-12,-5.166397187618219e-12,0.005166477360804072,-0.005166397187618219,8.017318585340639e-17
4,janus_on_c_support,C-supported Janus,with EDL,0.6112500000000001,5.208233627393814e-12,-5.1245930059492585e-12,0.0052082336273938145,-0.005124593005949259,8.364062144455578e-14
4,janus_on_c_support,C-supported Janus,with EDL,0.6115,5.250327455780823e-12,-5.083127108778803e-12,0.005250327455780824,-0.0050831271087788035,1.6720034700202012e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.61175,5.292761575495718e-12,-5.041996758479768e-12,0.005292761575495718,-0.005041996758479768,2.5076481701594973e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.612,5.335538738145253e-12,-5.001199239581306e-12,0.005335538738145253,-0.005001199239581306,3.343394985639471e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.61225,5.378661717590967e-12,-4.960731858589473e-12,0.005378661717590967,-0.004960731858589473,4.1792985900149406e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.6125,5.4221333101292866e-12,-4.9205919438093125e-12,0.005422133310129287,-0.004920591943809312,5.015413663199741e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.61275,5.46595633467286e-12,-4.8807768451685175e-12,0.00546595633467286,-0.0048807768451685175,5.851794895043421e-13
4,janus_on_c_support,C-supported Janus,with EDL,0.613,5.510133632933672e-12,-4.84128393404229e-12,0.005510133632933672,-0.00484128393404229,6.688496988913818e-13
