condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,1.0,0.4918456725755996,1.6850137437619566e-12,-4.598829489437113e-12,0.0016850137437619565,-0.004598829489437113,0.08425068718809782,-0.22994147447185564
with EDL,1.0,0.4920959332638165,1.694726621173265e-12,-4.572472514507743e-12,0.001694726621173265,-0.004572472514507743,0.08473633105866324,-0.22862362572538714
with EDL,1.0,0.4923461939520334,1.7044954862511124e-12,-4.5462665976093445e-12,0.0017044954862511124,-0.004546266597609344,0.08522477431255561,-0.2273133298804672
with EDL,1.0,0.49259645464025026,1.7143206617236378e-12,-4.5202108729927605e-12,0.0017143206617236378,-0.004520210872992761,0.08571603308618188,-0.226010543649638
with EDL,1.0,0.4928467153284672,1.7242024721792675e-12,-4.494304479870645e-12,0.0017242024721792675,-0.004494304479870645,0.08621012360896337,-0.22471522399353225
with EDL,1.0,0.49309697601668406,1.7341412440774452e-12,-4.468546562389038e-12,0.0017341412440774451,-0.0044685465623890384,0.08670706220387225,-0.22342732811945187
with EDL,1.0,0.49334723670490094,1.7441373057594142e-12,-4.442936269599077e-12,0.001744137305759414,-0.004442936269599077,0.0872068652879707,-0.22214681347995383
with EDL,1.0,0.49359749739311787,1.754190987459072e-12,-4.4174727554288786e-12,0.0017541909874590718,-0.004417472755428879,0.08770954937295358,-0.2208736377714439
with EDL,1.0,0.49384775808133474,1.7643026213138584e-12,-4.39215517865561e-12,0.0017643026213138584,-0.004392155178655609,0.08821513106569291,-0.21960775893278048
with EDL,1.0,0.4940980187695516,1.7744725413757595e-12,-4.366982702877675e-12,0.0017744725413757596,-0.004366982702877675,0.08872362706878796,-0.21834913514388374
with EDL,1.0,0.4943482794577685,1.784701083622322e-12,-4.341954496487095e-12,0.001784701083622322,-0.004341954496487095,0.08923505418111609,-0.21709772482435472
with EDL,1.0,0.4945985401459854,1.7949885859677588e-12,-4.317069732642024e-12,0.0017949885859677589,-0.004317069732642024,0.08974942929838793,-0.21585348663210116
with EDL,1.0,0.4948488008342023,1.8053353882741132e-12,-4.292327589239465e-12,0.0018053353882741133,-0.004292327589239465,0.09026676941370565,-0.21461637946197323
with EDL,1.0,0.4950990615224192,1.8157418323624888e-12,-4.267727248888058e-12,0.0018157418323624889,-0.0042677272488880575,0.09078709161812443,-0.21338636244440287
with EDL,1.0,0.4953493222106361,1.8262082620243255e-12,-4.243267898881132e-12,0.0018262082620243254,-0.004243267898881132,0.09131041310121626,-0.2121633949440566
with EDL,1.0,0.495599582898853,1.8367350230327856e-12,-4.218948731169811e-12,0.0018367350230327857,-0.004218948731169811,0.09183675115163928,-0.21094743655849052
with EDL,1.0,0.49584984358706985,1.847322463154156e-12,-4.194768942336345e-12,0.001847322463154156,-0.004194768942336345,0.0923661231577078,-0.20973844711681724
with EDL,1.0,0.4961001042752868,1.8579709321593437e-12,-4.17072773356754e-12,0.0018579709321593437,-0.00417072773356754,0.09289854660796718,-0.208536386678377
