material,condition,curve_source,C_tot_M,C_tot_mol_per_m3,E_mix_V,lambda_D_nm,distance_from_RP_nm,phi_bar_tilde,phi_bar_V,phi_bar_mV
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.545023792198098,-0.07177449546950833,-0.0018430479379113924,-1.8430479379113924
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.592542821714,-0.0706617350575918,-0.0018144741281039315,-1.8144741281039314
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.640061851229902,-0.06956622639681927,-0.001786343314156815,-1.786343314156815
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.687580880745804,-0.06848770202358023,-0.0017586486280558194,-1.7586486280558193
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.735099910261706,-0.06742589862090277,-0.001731383308265402,-1.7313833082654022
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.782618939777608,-0.06638055695416666,-0.001704540698077925,-1.704540698077925
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.83013796929351,-0.06535142180781166,-0.0016781142439884287,-1.6781142439884287
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.877656998809412,-0.06433824192302812,-0.0016520974940946326,-1.6520974940946325
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.925176028325314,-0.06334076993641319,-0.0016264840965217297,-1.6264840965217298
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,12.972695057841216,-0.06235876231957807,-0.0016012677978716036,-1.6012677978716037
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.020214087357118,-0.061391979319691724,-0.0015764424416960902,-1.5764424416960903
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.067733116873018,-0.060440184900946214,-0.001552001966993907,-1.552001966993907
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.11525214638892,-0.05950314668692963,-0.0015279404067308868,-1.5279404067308868
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.162771175904822,-0.05858063590389245,-0.0015042518863831542,-1.5042518863831542
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.210290205420725,-0.05767242732489322,-0.0014809306225028796,-1.4809306225028795
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.257809234936627,-0.05677829921481068,-0.0014579709213062852,-1.4579709213062853
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.305328264452529,-0.05589803327620809,-0.0014353671772835304,-1.4353671772835304
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.35284729396843,-0.05503141459603663,-0.0014131138718301464,-1.4131138718301464
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.400366323484333,-0.05417823159316553,-0.0013912055718996975,-1.3912055718996974
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.447885353000235,-0.053338275966725274,-0.0013696369286773226,-1.3696369286773227
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.495404382516137,-0.052511342645252236,-0.0013484026762738547,-1.3484026762738548
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.542923412032039,-0.05169722973662098,-0.001327497630440167,-1.327497630440167
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.59044244154794,-0.0508957384787534,-0.0013069166873014668,-1.3069166873014668
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.637961471063841,-0.050106673191091834,-0.0012866548221112067,-1.2866548221112066
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.685480500579743,-0.04932984122682433,-0.0012667070880243107,-1.2667070880243108
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.732999530095645,-0.04856505292585106,-0.00124706861488943,-1.24706861488943
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.780518559611547,-0.047812121568479415,-0.0012277346080599128,-1.2277346080599127
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.82803758912745,-0.04707086332983742,-0.0012087003472232155,-1.2087003472232154
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.875556618643351,-0.046341097234993515,-0.0011899611852484568,-1.1899611852484568
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.923075648159253,-0.0456226451147723,-0.0011715125470518385,-1.1715125470518386
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,13.970594677675155,-0.04491533156225549,-0.0011533499284796648,-1.1533499284796649
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.018113707191057,-0.04421898388995709,-0.0011354688952086725,-1.1354688952086724
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.06563273670696,-0.043533432087662305,-0.0011178650816634054,-1.1178650816634055
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.113151766222861,-0.042858508780920464,-0.0011005341899503827,-1.1005341899503827
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.160670795738763,-0.0421940491901812,-0.001083471988808785,-1.083471988808785
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.208189825254664,-0.04153989109056437,-0.0010666743125774137,-1.0666743125774136
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.255708854770566,-0.04089587477225333,-0.001050137060177657,-1.050137060177657
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.303227884286468,-0.04026184300150274,-0.0010338561941122366,-1.0338561941122366
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.35074691380237,-0.03963764098225058,-0.0010178277394794688,-1.0178277394794688
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.398265943318272,-0.03902311631832529,-0.001002047783002807,-1.002047783002807
Pd,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,14.445784972834174,-0.038418118976238855,-0.000986512472075432,-0.986512472075432
