L_support_nm,x_nm,material,phi_RP_V,sigma_C_per_m2,sigma_uC_per_cm2
0.0,2.6605321064212832,Au,-0.15368455746522988,-0.035124089683549325,-3.5124089683549324
0.0,2.6705341068213646,Au,-0.15368450229920821,-0.03512410071675366,-3.512410071675366
0.0,2.6805361072214433,Au,-0.15368440907796171,-0.03512411936100296,-3.512411936100296
0.0,2.6905381076215256,Au,-0.15368430977052203,-0.0351241392224909,-3.51241392224909
0.0,2.700540108021604,Au,-0.1536842384971051,-0.035124153477174284,-3.5124153477174285
0.0,2.7105421084216856,Au,-0.15368421948114722,-0.03512415728036586,-3.512415728036586
0.0,2.7205441088217643,Au,-0.15368425849349165,-0.03512414947789697,-3.512414947789697
0.0,2.730546109221843,Au,-0.15368434081066304,-0.0351241330144627,-3.5124133014462697
0.0,2.740548109621925,Au,-0.15368443640957366,-0.03512411389468057,-3.512411389468057
0.0,2.7505501100220036,Au,-0.15368451056588492,-0.03512409906341832,-3.5124099063418317
0.0,2.760552110422085,Au,-0.15368453611473842,-0.03512409395364762,-3.512409395364762
0.0,2.7705541108221636,Au,-0.15368450304475262,-0.03512410056764478,-3.5124100567644776
0.0,2.780556111222246,Au,-0.1536844220369283,-0.035124116769209644,-3.5124116769209643
0.0,2.790558111622324,Au,-0.15368432069749244,-0.03512413703709682,-3.5124137037096816
0.0,2.800560112022403,Au,-0.1536842338133419,-0.035124154413926925,-3.5124154413926925
0.0,2.8105621124224847,Au,-0.15368419106973216,-0.03512416296264887,-3.5124162962648873
0.0,2.8205641128225634,Au,-0.15368420656674026,-0.035124159863247253,-3.5124159863247253
0.0,2.830566113222645,Au,-0.15368427383681743,-0.03512414640923182,-3.512414640923182
0.0,2.840568113622724,Au,-0.15368436812400846,-0.03512412755179361,-3.5124127551793607
0.0,2.8505701140228057,Au,-0.15368445512165277,-0.03512411015226475,-3.512411015226475
0.0,2.8605721144228844,Au,-0.1536845030845456,-0.035124100559686185,-3.5124100559686187
0.0,2.870574114822963,Au,-0.15368449403932083,-0.03512410236873114,-3.512410236873114
0.0,2.880576115223045,Au,-0.15368443013427127,-0.03512411514974105,-3.512411514974105
0.0,2.8905781156231236,Au,-0.15368433288527422,-0.03512413459954046,-3.512413459954046
0.0,2.900580116023205,Au,-0.15368423558250796,-0.03512415406009371,-3.5124154060093713
0.0,2.9105821164232837,Au,-0.15368417153770808,-0.03512416686905369,-3.512416686905369
0.0,2.9205841168233655,Au,-0.15368416232114365,-0.03512416871236657,-3.5124168712366575
0.0,2.930586117223444,Au,-0.15368421014202596,-0.03512415914819011,-3.5124159148190106
0.0,2.940588117623526,Au,-0.1536842970639236,-0.03512414176381059,-3.512414176381059
0.0,2.9505901180236047,Au,-0.15368439133380377,-0.03512412290983455,-3.512412290983455
0.0,2.9605921184236834,Au,-0.1536844585914435,-0.0351241094583066,-3.51241094583066
0.0,2.9705941188237652,Au,-0.153684474002093,-0.0351241063761767,-3.5124106376176703
0.0,2.980596119223844,Au,-0.15368443102832877,-0.03512411497092955,-3.512411497092955
0.0,2.9905981196239257,Au,-0.15368434374282022,-0.03512413242803126,-3.512413242803126
0.0,3.0006001200240044,Au,-0.1536842418638053,-0.03512415280383424,-3.512415280383424
0.0,3.010602120424083,Au,-0.15368416026463905,-0.0351241691236675,-3.5124169123667497
0.0,3.020604120824165,Au,-0.1536841266604908,-0.03512417584449714,-3.512417584449714
0.0,3.0306061212242468,Au,-0.1536841518198246,-0.03512417081263038,-3.512417081263038
0.0,3.0406081216243255,Au,-0.15368422575777488,-0.03512415602504033,-3.5124156025040327
