material,y_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
Au,12.925176028325312,-0.11631165150256585,-2.9866869569001926,0.8901977485960839,1.1233459100262648
Au,12.988534734346516,-0.1139135589628219,-2.9251079868024727,0.8923350869191405,1.1206552500950975
Au,13.051893440367717,-0.11156490986021339,-2.864798640744039,0.8944333319764248,1.1180263125819618
Au,13.11525214638892,-0.1092646847789189,-2.805732741846667,0.8964930980147431,1.1154575559080933
Au,13.178610852410122,-0.10701188532124808,-2.7478846529422736,0.8985149937874954,1.1129474821390755
Au,13.241969558431325,-0.1048055336742924,-2.6912292654452403,0.9004996224130756,1.1104946355449794
Au,13.305328264452527,-0.10264467218551326,-2.635741988454231,0.9024475812444478,1.1080976012158295
Au,13.36868697047373,-0.10052836294707801,-2.581398738078644,0.9043594617494548,1.1057550037299677
Au,13.432045676494933,-0.0984556873887679,-2.5281759269851736,0.9062358494014172,1.103465505873019
Au,13.495404382516135,-0.09642574587927821,-2.4760504541598705,0.9080773235796002,1.10122780740526
Au,13.558763088537338,-0.09443765733573928,-2.4249996948813,0.9098844574791334,1.0990406438753058
Au,13.62212179455854,-0.09249055884128864,-2.375001490900442,0.9116578180299818,1.0969027854781286
Au,13.685480500579743,-0.09058360527052664,-2.3260341408230216,0.9133979658245793,1.0948130359555157
Au,13.748839206600945,-0.08871596892269643,-2.2780763906901886,0.9151054550537419,1.0927702315371648
Au,13.812197912622148,-0.08688683916242489,-2.231107424753354,0.9167808334504985,1.0907732399207002
Au,13.87555661864335,-0.08509542206787234,-2.1851068564392664,0.9184246422414782,1.088820959288975
Au,13.938915324664553,-0.08334094008613538,-2.140054719501338,0.9200374161055123,1.0869123173630988
Au,14.002274030685756,-0.08162263169575543,-2.0959314593534346,0.9216196831391151,1.0850462704897044
Au,14.065632736706958,-0.07993975107618538,-2.052717924582337,0.92317196482852,1.083221802761039
Au,14.12899144272816,-0.07829156778407083,-2.010395358635186,0.9246947760279596,1.0814379251665238
Au,14.192350148749362,-0.07667736643620587,-1.968945391678328,0.9261886249438843,1.079693674774496
Au,14.255708854770566,-0.07509644639902616,-1.9283500326240146,0.9276540131248301,1.0779881139429024
Au,14.319067560791767,-0.07354812148450275,-1.8885916613214744,0.9290914354566511,1.0763203295577652
Au,14.38242626681297,-0.07203171965230737,-1.8496530209090167,0.9305013801628449,1.0746894322983083
Au,14.445784972834172,-0.07054658271811717,-1.8115172103237913,0.9318843288097068,1.0730945559276623
Au,14.509143678855375,-0.06909206606793435,-1.7741676769659973,0.9332407563160611,1.071534856608137
Au,14.572502384876579,-0.0676675383782957,-1.7375882095143373,0.9345711309673217,1.070009512240076
Au,14.63586109089778,-0.06627238134225068,-1.7017629308895963,0.9358759144336494,1.0685177218233635
Au,14.699219796918984,-0.06490598940098921,-1.6666762913632962,0.9371555617919766,1.0670587048406945
Au,14.762578502940185,-0.06356776948100319,-1.6323130618084474,0.9384105215516816,1.0656317006617517
