L_support_nm,pzc_support_V,N_modes,gl_order,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,i_mix_abs_with_A,i_mix_abs_no_A,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,sigma_support_signed_mean_C_per_m2,sigma_support_signed_mean_uC_per_cm2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,overlap_reference_L_support_nm,overlap_delta_phi_RP_Au_mean_vs_15nm_mV,overlap_delta_phi_RP_Pd_mean_vs_15nm_mV,overlap_active_RP_RMS_vs_15nm_mV
15.0,0.32,3840,128,3.0412178890177213,0.5586326741871461,0.4670000000000002,0.026400276389538613,0.11756035407872475,1.0560110555815446e-12,4.7024141631489906e-12,-178.20282031796634,-13.585433267807863,0.03015260247497604,3.0152602474976042,1.3988377973236453e-15,4.308123452522561e-15,7.957726928832651,False,15.0,0.0,0.0,0.0
1.0,0.34,960,128,3.0412178890177213,0.5763235872239922,0.4670000000000001,0.0309852821040599,0.11756035407872445,1.2394112841623961e-12,4.7024141631489785e-12,-184.21762281097563,-40.82945667697648,0.056574480787071446,5.657448078707144,7.66187127961242e-16,1.7950514385510672e-15,7.990056825176184,False,15.0,-4.957533015309593,-26.186753931468825,18.845731812073293
3.0,0.34,960,128,3.0412178890177213,0.5654367530980821,0.46699999999999964,0.027713579413238664,0.1175603540787235,1.1085431765295467e-12,4.7024141631489405e-12,-181.07302765229412,-23.54628807639715,0.04251894285378379,4.251894285378379,2.189187757856863e-15,6.0134223191460756e-15,7.991642840511126,False,15.0,-1.812937856628082,-8.903585330889499,6.424973751558285
6.0,0.34,1920,128,3.0412178890177213,0.5611975492296766,0.4670000000000002,0.026579090200900983,0.11756035407872475,1.0631636080360394e-12,4.7024141631489906e-12,-179.67764542829462,-16.76416119145818,0.0344162518338287,3.4416251833828704,1.0916926107212886e-15,4.308123452522561e-15,7.977748122814026,False,15.0,-0.4175556326285914,-2.121458445950527,1.5288784523687104
15.0,0.34,3840,128,3.0412178890177213,0.5598936917835194,0.4670000000000002,0.02621761285924606,0.11756035407872475,1.0487045143698425e-12,4.7024141631489906e-12,-179.26008979566603,-14.642702745507652,0.027979553009142646,2.7979553009142646,2.1128756842818685e-15,4.308123452522561e-15,7.971885929924047,False,15.0,0.0,0.0,0.0
1.0,0.36,960,128,3.0412178890177213,0.57693040157886,0.4670000000000001,0.03090136737464726,0.11756035407872445,1.2360546949858905e-12,4.7024141631489785e-12,-184.68918038980632,-41.30101425580718,0.05329820754712862,5.329820754712862,7.682677603404756e-16,1.7950514385510672e-15,7.992943704961771,False,15.0,-4.369889159813397,-25.59911007597266,18.363147441966746
3.0,0.36,960,128,3.0412178890177213,0.5664748283885659,0.46699999999999964,0.02756295414915866,0.1175603540787235,1.1025181659663464e-12,4.7024141631489405e-12,-181.93000160305047,-24.403262027153556,0.03978494887582482,3.978494887582482,1.4355333718285505e-15,6.0134223191460756e-15,8.001214646746803,False,15.0,-1.6107103730575432,-8.701357847319034,6.257316369378158
6.0,0.36,1920,128,3.0412178890177213,0.5624039337604466,0.4670000000000002,0.02640887232743586,0.11756035407872475,1.0563548930974345e-12,4.7024141631489906e-12,-180.68884811877305,-17.775363881936677,0.03199481634907068,3.199481634907068,1.0987290942322279e-15,4.308123452522561e-15,7.990770059256484,False,15.0,-0.3695568887801244,-2.0734597021021557,1.4892628092929747
15.0,0.36,3840,128,3.0412178890177213,0.5611517018199497,0.4670000000000002,0.026042954917068907,0.11756035407872475,1.0417181966827564e-12,4.7024141631489906e-12,-180.31929122999293,-15.701904179834521,0.025806194735055746,2.5806194735055747,9.115910379593163e-16,4.308123452522561e-15,7.986122024401789,False,15.0,0.0,0.0,0.0
1.0,0.38,960,128,3.0412178890177213,0.5775363773049988,0.4670000000000001,0.030820959597582336,0.11756035407872445,1.2328383839032936e-12,4.7024141631489785e-12,-185.161296244753,-41.77313011075388,0.050021868353460064,5.002186835346007,1.454958351733307e-15,1.7950514385510672e-15,7.995852626979062,False,15.0,-3.7809278274849873,-25.010148743644297,17.885789826226052
3.0,0.38,960,128,3.0412178890177213,0.5675107011764002,0.46699999999999964,0.02741896843865493,0.1175603540787235,1.0967587375461973e-12,4.7024141631489405e-12,-182.7884077442776,-25.261668168380687,0.037050755967634595,3.7050755967634594,9.620478756235941e-17,6.0134223191460756e-15,8.01084343128607,False,15.0,-1.4080393270095897,-8.498686801271102,6.0913977087572135
